Start Time: 12:55:44
run_preprocessing=True, with: is_hl=True, to_seg=True, seg_len=30, hl_margins=(6, 0) 
run_features=True, with: is_hl=True , specific_blendshapes=True 
linear_regression, LeaveOneSubjOut, pca3, valence    , True, True, 0.135, 0.003, 0.017
ridge            , LeaveOneSubjOut, pca3, valence    , True, True, 0.131, 0.005, 0.015
linear_regression, LeaveOneSubjOut, pca4, valence    , True, True, 0.150, 0.001, 0.020
ridge            , LeaveOneSubjOut, pca4, valence    , True, True, 0.147, 0.001, 0.019
linear_regression, LeaveOneSubjOut, pca5, valence    , True, True, 0.165, 0.000, 0.024
ridge            , LeaveOneSubjOut, pca5, valence    , True, True, 0.162, 0.000, 0.023
linear_regression, LeaveOneSubjOut, pca6, valence    , True, True, 0.167, 0.000, 0.022
ridge            , LeaveOneSubjOut, pca6, valence    , True, True, 0.172, 0.000, 0.027
linear_regression, LeaveOneSubjOut, pca7, valence    , True, True, 0.150, 0.001, 0.012
ridge            , LeaveOneSubjOut, pca7, valence    , True, True, 0.153, 0.001, 0.022
linear_regression, LeaveOneSubjOut, pca8, valence    , True, True, 0.160, 0.001, 0.016
ridge            , LeaveOneSubjOut, pca8, valence    , True, True, 0.156, 0.001, 0.023
linear_regression, LeaveOneSubjOut, pca9, valence    , True, True, 0.149, 0.001, 0.008
ridge            , LeaveOneSubjOut, pca9, valence    , True, True, 0.148, 0.001, 0.022
linear_regression, LeaveOneSubjOut, pca10, valence    , True, True, 0.136, 0.003, 0.000
ridge            , LeaveOneSubjOut, pca10, valence    , True, True, 0.136, 0.003, 0.018
linear_regression, LeaveOneSubjOut, pca11, valence    , True, True, 0.139, 0.003, -0.003
ridge            , LeaveOneSubjOut, pca11, valence    , True, True, 0.145, 0.002, 0.021
linear_regression, LeaveOneSubjOut, pca2, arousal    , True, True, 0.192, 0.000, 0.036
ridge            , LeaveOneSubjOut, pca2, arousal    , True, True, 0.200, 0.000, 0.035
linear_regression, LeaveOneSubjOut, pca3, arousal    , True, True, 0.185, 0.000, 0.033
ridge            , LeaveOneSubjOut, pca3, arousal    , True, True, 0.191, 0.000, 0.033
linear_regression, LeaveOneSubjOut, pca4, arousal    , True, True, 0.179, 0.000, 0.028
ridge            , LeaveOneSubjOut, pca4, arousal    , True, True, 0.195, 0.000, 0.035
linear_regression, LeaveOneSubjOut, pca5, arousal    , True, True, 0.175, 0.000, 0.026
ridge            , LeaveOneSubjOut, pca5, arousal    , True, True, 0.193, 0.000, 0.035
linear_regression, LeaveOneSubjOut, pca6, arousal    , True, True, 0.170, 0.000, 0.022
ridge            , LeaveOneSubjOut, pca6, arousal    , True, True, 0.190, 0.000, 0.034
linear_regression, LeaveOneSubjOut, pca7, arousal    , True, True, 0.159, 0.001, 0.016
ridge            , LeaveOneSubjOut, pca7, arousal    , True, True, 0.183, 0.000, 0.032
linear_regression, LeaveOneSubjOut, pca8, arousal    , True, True, 0.151, 0.001, 0.011
ridge            , LeaveOneSubjOut, pca8, arousal    , True, True, 0.174, 0.000, 0.030
linear_regression, LeaveOneSubjOut, pca9, arousal    , True, True, 0.148, 0.001, 0.007
ridge            , LeaveOneSubjOut, pca9, arousal    , True, True, 0.168, 0.000, 0.028
linear_regression, LeaveOneSubjOut, pca10, arousal    , True, True, 0.137, 0.003, 0.001
ridge            , LeaveOneSubjOut, pca10, arousal    , True, True, 0.159, 0.001, 0.025
linear_regression, LeaveOneSubjOut, pca11, arousal    , True, True, 0.128, 0.005, -0.006
ridge            , LeaveOneSubjOut, pca11, arousal    , True, True, 0.155, 0.001, 0.024
linear_regression, LeaveOneSubjOut, pca2, likeability, True, True, 0.138, 0.003, 0.019
ridge            , LeaveOneSubjOut, pca2, likeability, True, True, 0.134, 0.004, 0.014
linear_regression, LeaveOneSubjOut, pca3, likeability, True, True, 0.127, 0.006, 0.015
ridge            , LeaveOneSubjOut, pca3, likeability, True, True, 0.121, 0.009, 0.013
linear_regression, LeaveOneSubjOut, pca4, likeability, True, True, 0.134, 0.004, 0.015
ridge            , LeaveOneSubjOut, pca4, likeability, True, True, 0.133, 0.004, 0.016
linear_regression, LeaveOneSubjOut, pca5, likeability, True, True, 0.155, 0.001, 0.021
ridge            , LeaveOneSubjOut, pca5, likeability, True, True, 0.151, 0.001, 0.020
linear_regression, LeaveOneSubjOut, pca6, likeability, True, True, 0.161, 0.000, 0.021
ridge            , LeaveOneSubjOut, pca6, likeability, True, True, 0.168, 0.000, 0.025
linear_regression, LeaveOneSubjOut, pca7, likeability, True, True, 0.144, 0.002, 0.012
ridge            , LeaveOneSubjOut, pca7, likeability, True, True, 0.149, 0.001, 0.021
linear_regression, LeaveOneSubjOut, pca8, likeability, True, True, 0.155, 0.001, 0.015
ridge            , LeaveOneSubjOut, pca8, likeability, True, True, 0.154, 0.001, 0.023
linear_regression, LeaveOneSubjOut, pca9, likeability, True, True, 0.147, 0.001, 0.010
ridge            , LeaveOneSubjOut, pca9, likeability, True, True, 0.148, 0.001, 0.021
linear_regression, LeaveOneSubjOut, pca10, likeability, True, True, 0.135, 0.003, 0.003
ridge            , LeaveOneSubjOut, pca10, likeability, True, True, 0.136, 0.003, 0.018
linear_regression, LeaveOneSubjOut, pca11, likeability, True, True, 0.142, 0.002, 0.002
ridge            , LeaveOneSubjOut, pca11, likeability, True, True, 0.144, 0.002, 0.020
linear_regression, LeaveOneSubjOut, pca2, rewatch    , True, True, 0.201, 0.000, 0.040
ridge            , LeaveOneSubjOut, pca2, rewatch    , True, True, 0.199, 0.000, 0.032
linear_regression, LeaveOneSubjOut, pca3, rewatch    , True, True, 0.191, 0.000, 0.036
ridge            , LeaveOneSubjOut, pca3, rewatch    , True, True, 0.187, 0.000, 0.030
linear_regression, LeaveOneSubjOut, pca4, rewatch    , True, True, 0.203, 0.000, 0.040
ridge            , LeaveOneSubjOut, pca4, rewatch    , True, True, 0.201, 0.000, 0.034
linear_regression, LeaveOneSubjOut, pca5, rewatch    , True, True, 0.206, 0.000, 0.040
ridge            , LeaveOneSubjOut, pca5, rewatch    , True, True, 0.204, 0.000, 0.037
